Taxa	GO	Description	cooccurrence_Non-HIV	cooccurrence_Pre-HIV	cor_Non-HIV	cor_Pre-HIV	diff_cor	p	sign	Ontology	Definition
s__Megasphaera_elsdenii	GO:0017148	negative regulation of translation	115	71	0.154	-0.338	0.493	0.000952044701309607	Pre-HIV-	BP	Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of proteins by the translation of mRNA or circRNA.
s__Dorea_ammoniilytica	GO:0004106	chorismate mutase activity	150	80	0.047	0.471	0.424	0.000952298988742939	Pre-HIV+	MF	Catalysis of the reaction: chorismate = prephenate.
s__Senegalimassilia_anaerobia	GO:0006259	DNA metabolic process	146	81	-0.042	0.4	0.441	0.000952919891381132	Pre-HIV+	BP	Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides.
s__Holdemanella_biformis	GO:0004611	phosphoenolpyruvate carboxykinase activity	150	80	-0.258	-0.622	0.364	0.000952963522021122	Pre-HIV-	MF	Catalysis of the reaction: source of phosphate + oxaloacetate = phosphoenolpyruvate + CO2 + other reaction products.
s__Anthropogastromicrobium_aceti	GO:0008417	fucosyltransferase activity	147	80	-0.09	0.359	0.449	0.000957549448790118	Pre-HIV+	MF	Catalysis of the transfer of a fucosyl group to an acceptor molecule, typically another carbohydrate or a lipid.
s__Adlercreutzia_equolifaciens	GO:0009346	citrate lyase complex	149	82	-0.002	-0.432	0.431	0.000961997599324249	Pre-HIV-	CC	Citrate lyase is a multienzyme complex with three constituents: the alpha subunit, citrate-ACP transferase; the beta subunit, citryl-ACP lyase; and the gamma subunit, an acyl-carrier protein which also carries the prosthetic group components. All three subunits are required for citrate lyase enzyme activity.
s__Bifidobacterium_longum	GO:0019645	anaerobic electron transport chain	141	79	-0.129	0.329	0.458	0.0009630141844994	Pre-HIV+	BP	A process in which a series of electron carriers operate together to transfer electrons from donors such as NADH and FADH2 to any of several different terminal electron acceptors other than oxygen to generate a transmembrane electrochemical gradient.
s__Senegalimassilia_faecalis	GO:0004563	beta-N-acetylhexosaminidase activity	139	81	0.032	-0.411	0.443	0.000968733453954096	Pre-HIV-	MF	Catalysis of the hydrolysis of terminal non-reducing N-acetyl-D-hexosamine residues in N-acetyl-beta-D-hexosaminides.
s__Simiaoa_sunii	GO:0004455	ketol-acid reductoisomerase activity	148	81	0.13	-0.321	0.451	0.000971468863824709	Pre-HIV-	MF	Catalysis of the reaction: (R)-2,3-dihydroxy-3-methylbutanoate + NADP+ = (S)-2-hydroxy-2-methyl-3-oxobutanoate + NADPH + H+.
s__Fusicatenibacter_saccharivorans	GO:0006241	CTP biosynthetic process	151	82	-0.431	-0.002	0.429	0.000974579322601699	Non-HIV-	BP	The chemical reactions and pathways resulting in the formation of CTP, cytidine 5'-triphosphate.
s__Ruminococcus_flavefaciens	GO:0017076	purine nucleotide binding	149	82	0.179	0.566	0.387	0.000975503549719869	Pre-HIV+	MF	Interacting selectively and non-covalently with purine nucleotides, any compound consisting of a purine nucleoside esterified with (ortho)phosphate.
s__Adlercreutzia_equolifaciens	GO:0008814	citrate CoA-transferase activity	149	82	0.008	-0.424	0.432	0.000978999223498533	Pre-HIV-	MF	Catalysis of the reaction: acetyl-CoA + citrate = acetate + (3S)-citryl-CoA.
s__Faecalibacterium_sp._CLA_AA_H233	GO:0016855	racemase and epimerase activity, acting on amino acids and derivatives	151	81	-0.023	0.412	0.435	0.00097936687354494	Pre-HIV+	MF	Catalysis of a reaction that alters the configuration of one or more chiral centers in an amino acid.
s__Oscillibacter_sp._ER4	GO:0015977	carbon fixation	145	81	0.081	-0.366	0.447	0.000979440643006146	Pre-HIV-	BP	A metabolic process in which carbon (usually derived from carbon dioxide) is incorporated into organic compounds (usually carbohydrates).
s__Mediterraneibacter_butyricigenes	GO:0050334	thiaminase activity	151	81	0.119	-0.329	0.448	0.000980788714372238	Pre-HIV-	MF	Catalysis of the reaction: H(2)O + thiamine = 4-amino-5-hydroxymethyl-2-methylpyrimidine + 5-(2-hydroxyethyl)-4-methylthiazole + H(+).
s__Dysosmobacter_sp._BX15	GO:0004612	phosphoenolpyruvate carboxykinase (ATP) activity	148	81	-0.139	0.312	0.451	0.000981449634775977	Pre-HIV+	MF	Catalysis of the reaction: ATP + oxaloacetate = ADP + CO(2) + H(+) + phosphoenolpyruvate.
s__Oribacterium_sp._oral_taxon_102	GO:0070063	RNA polymerase binding	145	80	-0.112	0.34	0.452	0.000982806362200384	Pre-HIV+	MF	Interacting selectively and non-covalently with an RNA polymerase molecule or complex.
s__Dorea_sp._AF36_15AT	GO:0008899	homoserine O-succinyltransferase activity	150	80	-0.111	0.338	0.449	0.000986701109827015	Pre-HIV+	MF	Catalysis of the reaction: L-homoserine + succinyl-CoA = O-succinyl-L-homoserine + CoA.
s__Dorea_sp._AF36_15AT	GO:0019281	L-methionine biosynthetic process from homoserine via O-succinyl-L-homoserine and cystathionine	150	80	-0.111	0.338	0.449	0.000986701109827237	Pre-HIV+	BP	The chemical reactions and pathways resulting in the formation of L-methionine from other compounds, including homoserine, via the intermediates O-succinyl-L-homoserine and cystathionine.
s__Bifidobacterium_pseudocatenulatum	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	122	74	-0.057	0.411	0.468	0.000991433399279096	Pre-HIV+	MF	Catalysis of the reaction: nucleoside triphosphate + RNA(n) = diphosphate + RNA(n+1). Utilizes a DNA template, i.e. the catalysis of DNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time. Can initiate a chain 'de novo'.
s__Bifidobacterium_longum	GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	141	79	-0.153	0.306	0.459	0.000991737422122219	Pre-HIV+	MF	Catalysis of an oxidation-reduction (redox) reaction in which a CH-CH group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.
s__Dorea_sp._AF36_15AT	GO:0016987	bacterial sigma factor activity	150	80	0.004	-0.429	0.433	0.00099714921328542	Pre-HIV-	MF	A sigma factor is the promoter specificity subunit of eubacterial-type multisubunit RNA polymerases, those whose core subunit composition is often described as alpha(2)-beta-beta-prime. (This type of multisubunit RNA polymerase complex is known to be found in eubacteria and plant plastids). Although sigma does not bind DNA on its own, when combined with the core to form the holoenzyme, this binds specifically to promoter sequences, with the sigma factor making sequence specific contacts with the promoter elements. The sigma subunit is released from the elongating form of the polymerase and is thus free to act catalytically for multiple RNA polymerase core enzymes.
s__Bacteroides_thetaiotaomicron	GO:0006576	cellular biogenic amine metabolic process	149	77	-0.18	-0.572	0.393	0.00100212162338487	Pre-HIV-	BP	The chemical reactions and pathways occurring at the level of individual cells involving any of a group of naturally occurring, biologically active amines, such as norepinephrine, histamine, and serotonin, many of which act as neurotransmitters.
s__Holdemanella_sp._MSK_7_32	GO:0016407	acetyltransferase activity	137	81	-0.129	0.327	0.455	0.00100325286796088	Pre-HIV+	MF	Catalysis of the transfer of an acetyl group to an acceptor molecule.
s__Catenibacterium_mitsuokai	GO:0050567	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	139	79	-0.13	0.328	0.458	0.00100551718759601	Pre-HIV+	MF	Catalysis of the reaction: L-glutamine + glutamyl-tRNA(Gln) + ATP = L-glutamate + glutaminyl-tRNA(Gln) + phosphate + ADP.
s__Catenibacterium_mitsuokai	GO:0030956	glutamyl-tRNA(Gln) amidotransferase complex	139	79	-0.13	0.328	0.458	0.00100551718759645	Pre-HIV+	CC	A protein complex that possesses glutamyl-tRNA(Gln) amidotransferase activity, and therefore creates Gln-tRNA by amidating Glu-tRNA; usually composed of 3 subunits: A, B, and C. Note that the C subunit may not be required in all organisms.
s__Dorea_sp._AM58_8	GO:0020037	heme binding	151	82	0.117	-0.328	0.445	0.00100693615157477	Pre-HIV-	MF	Interacting selectively and non-covalently with heme, any compound of iron complexed in a porphyrin (tetrapyrrole) ring.
s__Roseburia_inulinivorans	GO:0008993	rhamnulokinase activity	150	82	0.171	0.559	0.388	0.00101362903680591	Pre-HIV+	MF	Catalysis of the reaction: ATP + L-rhamnulose = ADP + L-rhamnulose 1-phosphate.
s__Simiaoa_sunii	GO:0050567	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	148	81	-0.039	-0.463	0.423	0.00101568530499452	Pre-HIV-	MF	Catalysis of the reaction: L-glutamine + glutamyl-tRNA(Gln) + ATP = L-glutamate + glutaminyl-tRNA(Gln) + phosphate + ADP.
s__Simiaoa_sunii	GO:0030956	glutamyl-tRNA(Gln) amidotransferase complex	148	81	-0.039	-0.463	0.423	0.00101568530499607	Pre-HIV-	CC	A protein complex that possesses glutamyl-tRNA(Gln) amidotransferase activity, and therefore creates Gln-tRNA by amidating Glu-tRNA; usually composed of 3 subunits: A, B, and C. Note that the C subunit may not be required in all organisms.
s__Adlercreutzia_equolifaciens	GO:0008710	8-amino-7-oxononanoate synthase activity	135	77	0.117	-0.345	0.462	0.0010218555578918	Pre-HIV-	MF	Catalysis of the reaction: L-alanine + H(+) + pimelyl-CoA = 8-amino-7-oxononanoate + CO(2) + CoA.
s__Phocea_massiliensis	GO:0022872	protein-N(PI)-phosphohistidine-mannitol phosphotransferase system transmembrane transporter activity	149	82	-0.053	-0.471	0.418	0.00102207363826534	Pre-HIV-	MF	Catalysis of the PEP-dependent, phosphoryl transfer-driven transport of substances across a membrane. The transport happens by catalysis of the reaction: protein N-phosphohistidine + mannitol(out) = protein histidine + mannitol phosphate(in). This differs from primary and secondary active transport in that the solute is modified during transport.
s__Adlercreutzia_equolifaciens	GO:0004644	phosphoribosylglycinamide formyltransferase activity	149	82	-0.022	0.411	0.433	0.00102372330069267	Pre-HIV+	MF	Catalysis of the reaction: 10-formyltetrahydrofolate + N1-(5-phospho-D-ribosyl)glycinamide = tetrahydrofolate + N2-formyl-N1-(5-phospho-D-ribosyl)glycinamide.
s__Gemmiger_formicilis	GO:0008716	D-alanine-D-alanine ligase activity	151	82	-0.038	-0.459	0.421	0.00102652935990033	Pre-HIV-	MF	Catalysis of the reaction: 2 D-alanine + ATP = D-alanyl-D-alanine + ADP + 2 H(+) + phosphate.
s__Bacteroides_xylanisolvens	GO:0004602	glutathione peroxidase activity	145	73	0.165	0.569	0.404	0.00102985861260763	Pre-HIV+	MF	Catalysis of the reaction: 2 glutathione + hydrogen peroxide = oxidized glutathione + 2 H2O.
s__Dorea_sp._AM58_8	GO:0008233	peptidase activity	151	82	-0.162	-0.552	0.389	0.00103616102382298	Pre-HIV-	MF	Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid.
s__Faecalibacterium_prausnitzii	GO:0006047	UDP-N-acetylglucosamine metabolic process	149	81	0.068	0.484	0.416	0.00103884742091287	Pre-HIV+	BP	The chemical reactions and pathways involving UDP-N-acetylglucosamine, a substance composed of N-acetylglucosamine, a common structural unit of oligosaccharides, in glycosidic linkage with uridine diphosphate.
s__Blautia_faecis	GO:0004450	isocitrate dehydrogenase (NADP+) activity	151	82	0.133	-0.313	0.445	0.00104039071579831	Pre-HIV-	MF	Catalysis of the reaction: isocitrate + NADP+ = 2-oxoglutarate + CO2 + NADPH + H+.
s__Oscillibacter_sp._ER4	GO:0046873	metal ion transmembrane transporter activity	147	82	-0.207	-0.585	0.377	0.00104206951458963	Pre-HIV-	MF	Enables the transfer of metal ions from one side of a membrane to the other.
s__Oscillibacter_sp._ER4	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system	147	82	-0.409	-0.713	0.304	0.00104727488227696	Pre-HIV-	BP	The uptake and phosphorylation of specific carbohydrates from the extracellular environment; uptake and phosphorylation are coupled, making the PTS a link between the uptake and metabolism of sugars; phosphoenolpyruvate is the original phosphate donor; phosphoenolpyruvate passes the phosphate via a signal transduction pathway, to enzyme 1 (E1), which in turn passes it on to the histidine protein, HPr; the next step in the system involves sugar-specific membrane-bound complex, enzyme 2 (EII), which transports the sugar into the cell; it includes the sugar permease, which catalyzes the transport reactions; EII is usually divided into three different domains, EIIA, EIIB, and EIIC.
s__Blautia_obeum	GO:0016772	transferase activity, transferring phosphorus-containing groups	151	82	0.453	0.031	0.421	0.00104987351748531	Non-HIV+	MF	Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to another (acceptor).
s__Prevotella_sp._Marseille_P4119	GO:0043138	3'-5' DNA helicase activity	114	65	0.04	0.507	0.468	0.00105524062390017	Pre-HIV+	MF	Catalysis of the unwinding of the DNA helix in the direction 3' to 5'.
s__Prevotella_sp._Marseille_P4119	GO:0006220	pyrimidine nucleotide metabolic process	114	65	0.198	-0.308	0.506	0.00106061770203181	Pre-HIV-	BP	The chemical reactions and pathways involving a pyrimidine nucleotide, a compound consisting of nucleoside (a pyrimidine base linked to a deoxyribose or ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar.
s__Prevotella_sp._Marseille_P4119	GO:0004132	dCMP deaminase activity	114	65	0.198	-0.308	0.506	0.00106061770203203	Pre-HIV-	MF	Catalysis of the reaction: dCMP + H2O = dUMP + NH3.
s__Adlercreutzia_equolifaciens	GO:0004594	pantothenate kinase activity	149	82	-0.146	0.301	0.447	0.00106068527037317	Pre-HIV+	MF	Catalysis of the reaction: ATP + pantothenate = ADP + D-4'-phosphopantothenate.
s__Olsenella_uli	GO:0008817	cob(I)yrinic acid a,c-diamide adenosyltransferase activity	143	80	-0.514	-0.103	0.411	0.00106293929298862	Non-HIV-	MF	Catalysis of the reaction: ATP + cob(I)alamin + H2O = phosphate + diphosphate + adenosylcobalamin.
s__Prevotella_stercorea	GO:0004788	thiamine diphosphokinase activity	133	73	-0.206	-0.601	0.395	0.00106420812248675	Pre-HIV-	MF	Catalysis of the reaction: ATP + thiamine = AMP + thiamine diphosphate.
s__Holdemanella_porci	GO:0018339	peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid	140	80	-0.053	-0.477	0.424	0.00106613422383361	Pre-HIV-	BP	The modification of peptidyl-aspartic acid to form peptidyl-L-beta-methylthioaspartic acid, typical of bacterial ribosomal protein S12.
s__Dorea_sp._AM13_35	GO:0006541	glutamine metabolic process	129	71	-0.137	0.34	0.477	0.00106754720009605	Pre-HIV+	BP	The chemical reactions and pathways involving glutamine, 2-amino-4-carbamoylbutanoic acid.
s__Adlercreutzia_equolifaciens	GO:0009306	protein secretion	149	82	-0.086	-0.496	0.409	0.00107119374522791	Pre-HIV-	BP	The controlled release of proteins from a cell.
s__Clostridium_sp._1001270J_160509_D11	GO:0031012	extracellular matrix	116	58	0.364	-0.155	0.519	0.00107222157508824	Non-HIV+	CC	A structure lying external to one or more cells, which provides structural support for cells or tissues.
s__Ruminococcus_sp._210702_SL_1_03	GO:0070063	RNA polymerase binding	141	80	-0.335	0.116	0.451	0.001073364995267	Non-HIV-	MF	Interacting selectively and non-covalently with an RNA polymerase molecule or complex.
s__Mediterraneibacter_glycyrrhizinilyticus	GO:0033014	tetrapyrrole biosynthetic process	151	82	0.32	-0.123	0.443	0.00107844929341416	Non-HIV+	BP	The chemical reactions and pathways leading to the formation of tetrapyrroles, natural pigments containing four pyrrole rings joined by one-carbon units linking position 2 of one pyrrole ring to position 5 of the next.
s__Phascolarctobacterium_sp._Marseille_Q4147	GO:0031419	cobalamin binding	119	68	0.111	0.55	0.439	0.00108104389704233	Pre-HIV+	MF	Interacting selectively and non-covalently with cobalamin (vitamin B12), a water-soluble vitamin characterized by possession of a corrin nucleus containing a cobalt atom.
s__Phocaeicola_vulgatus	GO:0034229	ethanolamine transport	150	82	-0.077	-0.487	0.411	0.00108191009751701	Pre-HIV-	BP	The directed movement of ethanolamine into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Ethanolamine (2-aminoethanol, monoethanolamine) is an amino alcohol that occurs widely in living organisms as a constituent of certain types of phospholipids, such as phosphatidylethanolamine.
s__Phocaeicola_vulgatus	GO:0034228	ethanolamine transmembrane transporter activity	150	82	-0.077	-0.487	0.411	0.0010819100975179	Pre-HIV-	MF	Enables the transfer of ethanolamine from one side of a membrane to the other. Ethanolamine (2-aminoethanol, monoethanolamine) is an amino alcohol that occurs widely in living organisms as a constituent of certain types of phospholipids, such as phosphatidylethanolamine.
s__Collinsella_sp._TF05_9AC	GO:0070573	metallodipeptidase activity	135	76	-0.031	-0.468	0.437	0.00108417014894968	Pre-HIV-	MF	Catalysis of the hydrolysis of a dipeptide by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions.
s__Blautia_faecis	GO:0005975	carbohydrate metabolic process	151	82	0.436	0.012	0.424	0.00108725535169052	Non-HIV+	BP	The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. Includes the formation of carbohydrate derivatives by the addition of a carbohydrate residue to another molecule.
s__Ruminococcus_gnavus	GO:0047343	glucose-1-phosphate cytidylyltransferase activity	151	82	-0.06	-0.474	0.414	0.00108856577213445	Pre-HIV-	MF	Catalysis of the reaction: alpha-D-glucose 1-phosphate + CTP = CDP-D-glucose + diphosphate.
s__Fusicatenibacter_saccharivorans	GO:0042626	ATPase activity, coupled to transmembrane movement of substances	151	82	-0.411	0.019	0.429	0.00108956094334323	Non-HIV-	MF	Catalysis of the reaction: ATP + H2O = ADP + phosphate, to directly drive the active transport of a substance across a membrane.
s__Eubacterium_ramulus	GO:0008771	[citrate (pro-3S)-lyase] ligase activity	151	82	0.02	0.442	0.422	0.00109150814577186	Pre-HIV+	MF	Catalysis of the reaction: ATP + acetate + (citrate (pro-3S)-lyase) (thiol form) = AMP + diphosphate + (citrate (pro-3S)-lyase) (acetyl form).
s__Anthropogastromicrobium_aceti	GO:0051301	cell division	150	82	0.052	-0.383	0.435	0.00110273541440908	Pre-HIV-	BP	The process resulting in division and partitioning of components of a cell to form more cells; may or may not be accompanied by the physical separation of a cell into distinct, individually membrane-bounded daughter cells.
s__Intestinimonas_sp._MSJ_38	GO:0006425	glutaminyl-tRNA aminoacylation	149	82	0.141	0.535	0.394	0.00110928284064404	Pre-HIV+	BP	The process of coupling glutamine to glutaminyl-tRNA, catalyzed by glutaminyl-tRNA synthetase. The glutaminyl-tRNA synthetase is a  class-I synthetase. The activated amino acid is transferred to the 2'-OH group of a glutamine-accetping tRNA. The 2'-O-aminoacyl-tRNA will ultimately migrate to the 3' position via transesterification.
s__Intestinimonas_sp._MSJ_38	GO:0004819	glutamine-tRNA ligase activity	149	82	0.141	0.535	0.394	0.00110928284064515	Pre-HIV+	MF	Catalysis of the reaction: ATP + L-glutamine + tRNA(Gln) = AMP + diphosphate + L-glutaminyl-tRNA(Gln).
s__Vescimonas_fastidiosa	GO:0015703	chromate transport	146	82	-0.134	0.312	0.446	0.00110932383474482	Pre-HIV+	BP	The directed movement of chromate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.
s__Vescimonas_fastidiosa	GO:0015109	chromate transmembrane transporter activity	146	82	-0.134	0.312	0.446	0.00110932383474505	Pre-HIV+	MF	Enables the transfer of chromate from one side of a membrane to the other. Chromate is the anion of chromic acid, H2CrO4 (aq) or CrO3.
s__Holdemanella_porci	GO:0004197	cysteine-type endopeptidase activity	140	80	0.023	-0.415	0.438	0.00111465269205646	Pre-HIV-	MF	Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which the sulfhydryl group of a cysteine residue at the active center acts as a nucleophile.
s__Mediterraneibacter_glycyrrhizinilyticus	GO:0016841	ammonia-lyase activity	150	71	-0.093	0.367	0.46	0.00111900119268915	Pre-HIV+	MF	Catalysis of the release of ammonia by the cleavage of a carbon-nitrogen bond or the reverse reaction with ammonia as a substrate.
s__Dorea_sp._AF36_15AT	GO:0004177	aminopeptidase activity	150	80	0.291	0.64	0.349	0.00111911048957292	Pre-HIV+	MF	Catalysis of the hydrolysis of N-terminal amino acid residues from in a polypeptide chain.
s__Adlercreutzia_equolifaciens	GO:0016798	hydrolase activity, acting on glycosyl bonds	149	82	0.002	-0.424	0.426	0.00112178376585592	Pre-HIV-	MF	Catalysis of the hydrolysis of any glycosyl bond.
s__Escherichia_coli	GO:0000162	tryptophan biosynthetic process	150	80	-0.125	0.321	0.446	0.00112222876659929	Pre-HIV+	BP	The chemical reactions and pathways resulting in the formation of tryptophan, the chiral amino acid 2-amino-3-(1H-indol-3-yl)propanoic acid; tryptophan is synthesized from chorismate via anthranilate.
s__Dorea_sp._NSJ_36	GO:0050380	undecaprenyl-diphosphatase activity	143	76	0.091	0.509	0.418	0.00112497583230708	Pre-HIV+	MF	Catalysis of the reaction: all-trans-undecaprenyl diphosphate + H(2)O = all-trans-undecaprenyl phosphate + H(+) + phosphate.
s__Bacteroides_stercoris	GO:0051607	defense response to virus	147	73	-0.128	0.333	0.46	0.00113203822491337	Pre-HIV+	BP	Reactions triggered in response to the presence of a virus that act to protect the cell or organism.
s__Oscillibacter_sp._ER4	GO:0008914	leucyltransferase activity	140	79	0.231	0.604	0.374	0.00114479372423393	Pre-HIV+	MF	Catalysis of the reaction: L-leucyl-tRNA + protein = tRNA + L-leucyl-protein.
s__Dorea_sp._AF36_15AT	GO:0008173	RNA methyltransferase activity	150	80	0.136	0.533	0.397	0.00114522236345715	Pre-HIV+	MF	Catalysis of the transfer of a methyl group from a donor to a nucleoside residue in an RNA molecule.
s__Dorea_ammoniilytica	GO:0043165	Gram-negative-bacterium-type cell outer membrane assembly	144	70	-0.239	-0.621	0.382	0.00114530737457552	Pre-HIV-	BP	The assembly of an outer membrane of the type formed in Gram-negative bacteria. This membrane is enriched in polysaccharide and protein, and the outer leaflet of the membrane contains specific lipopolysaccharide structures.
s__Intestinimonas_sp._MSJ_38	GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	149	82	-0.004	-0.429	0.425	0.00114795041863203	Pre-HIV-	MF	Catalysis of the reaction: 2 ATP + L-glutamine + CO2 + H2O = 2 ADP + phosphate + glutamate + carbamoyl phosphate.
s__Ruminococcus_gnavus	GO:0009243	O antigen biosynthetic process	151	82	-0.066	-0.477	0.411	0.00114978839496738	Pre-HIV-	BP	The chemical reactions and pathways resulting in the formation of the O side chain of a lipopolysaccharide, which determines the antigenic specificity of the organism. It is made up of about 50 repeating units of a branched tetrasaccharide.
s__Desulfovibrio_piger	GO:0015105	arsenite transmembrane transporter activity	125	70	0.334	-0.146	0.48	0.00115339690584815	Non-HIV+	MF	Enables the transfer of arsenite from one side of a membrane to the other.
s__Desulfovibrio_piger	GO:0015700	arsenite transport	125	70	0.334	-0.146	0.48	0.00115339690584837	Non-HIV+	BP	The directed movement of arsenite into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.
s__Catenibacterium_mitsuokai	GO:0006633	fatty acid biosynthetic process	139	79	-0.136	0.317	0.453	0.0011559836523678	Pre-HIV+	BP	The chemical reactions and pathways resulting in the formation of a fatty acid, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils. Fatty acids are predominantly straight-chain acids of 4 to 24 carbon atoms, which may be saturated or unsaturated; branched fatty acids and hydroxy fatty acids also occur, and very long chain acids of over 30 carbons are found in waxes.
s__Vescimonas_fastidiosa	GO:0043565	sequence-specific DNA binding	146	82	-0.404	0.027	0.431	0.00115630431693914	Non-HIV-	MF	Interacting selectively and non-covalently with DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding.
s__Oliverpabstia_intestinalis	GO:0045263	proton-transporting ATP synthase complex, coupling factor F(o)	150	81	0.195	0.574	0.378	0.00115888135336695	Pre-HIV+	CC	All non-F1 subunits of a hydrogen-transporting ATP synthase, including integral and peripheral membrane proteins.
s__Eggerthella_lenta	GO:0004794	L-threonine ammonia-lyase activity	151	82	-0.109	0.331	0.439	0.00115942328805452	Pre-HIV+	MF	Catalysis of the reaction: L-threonine = 2-oxobutanoate + NH3.
s__Catenibacterium_mitsuokai	GO:0003849	3-deoxy-7-phosphoheptulonate synthase activity	139	79	-0.085	0.363	0.448	0.00116001928805476	Pre-HIV+	MF	Catalysis of the reaction: D-erythrose 4-phosphate + H(2)O + phosphoenolpyruvate = 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate + phosphate.
s__Anthropogastromicrobium_aceti	GO:0003852	2-isopropylmalate synthase activity	150	82	0.361	-0.074	0.436	0.00116339742543459	Non-HIV+	MF	Catalysis of the reaction: 3-methyl-2-oxobutanoate + acetyl-CoA + H(2)O = (2S)-2-isopropylmalate + CoA + H(+).
s__Simiaoa_sunii	GO:0046857	oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor	148	81	0.146	0.539	0.393	0.0011648980951573	Pre-HIV+	MF	Catalysis of an oxidation-reduction (redox) reaction in which a nitrogenous group, excluding NH and NH2 groups, acts as a hydrogen or electron donor and reduces NAD or NADP.
s__Bacteroides_fragilis	GO:0008836	diaminopimelate decarboxylase activity	151	80	-0.096	0.345	0.441	0.00116740326339282	Pre-HIV+	MF	Catalysis of the reaction: meso-2,6-diaminopimelate + H(+) = L-lysine + CO(2).
s__Phascolarctobacterium_succinatutens	GO:0015649	2-keto-3-deoxygluconate:proton symporter activity	122	69	0.031	-0.436	0.467	0.00116929683632905	Pre-HIV-	MF	Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: 2-keto-3-deoxygluconate(out) + H+(out) = 2-keto-3-deoxygluconate(in) + H+(in).
s__Phascolarctobacterium_succinatutens	GO:0046411	2-keto-3-deoxygluconate transmembrane transport	122	69	0.031	-0.436	0.467	0.0011692968363306	Pre-HIV-	BP	The process in which 2-keto-3-deoxygluconate is transported across a lipid bilayer, from one side of a membrane to the other.
s__Pseudoflavonifractor_sp._MSJ_30	GO:0022872	protein-N(PI)-phosphohistidine-mannitol phosphotransferase system transmembrane transporter activity	150	82	-0.176	-0.558	0.383	0.00116987989146455	Pre-HIV-	MF	Catalysis of the PEP-dependent, phosphoryl transfer-driven transport of substances across a membrane. The transport happens by catalysis of the reaction: protein N-phosphohistidine + mannitol(out) = protein histidine + mannitol phosphate(in). This differs from primary and secondary active transport in that the solute is modified during transport.
s__Paratractidigestivibacter_faecalis	GO:0006790	sulfur compound metabolic process	131	74	-0.502	-0.072	0.43	0.00117009453938	Non-HIV-	BP	The chemical reactions and pathways involving the nonmetallic element sulfur or compounds that contain sulfur, such as the amino acids methionine and cysteine or the tripeptide glutathione.
s__Vescimonas_fastidiosa	GO:0097367	carbohydrate derivative binding	146	82	-0.107	-0.51	0.403	0.00117322944134846	Pre-HIV-	MF	Interacting selectively and non-covalently with a carbohydrate derivative.
s__Mediterraneibacter_glycyrrhizinilyticus	GO:0008817	cob(I)yrinic acid a,c-diamide adenosyltransferase activity	151	82	0.106	-0.333	0.438	0.00117821487118563	Pre-HIV-	MF	Catalysis of the reaction: ATP + cob(I)alamin + H2O = phosphate + diphosphate + adenosylcobalamin.
s__Dorea_sp._AM58_8	GO:0004640	phosphoribosylanthranilate isomerase activity	151	82	0.001	-0.423	0.424	0.00118052815094294	Pre-HIV-	MF	Catalysis of the reaction: N-(5-phospho-beta-D-ribosyl)anthranilate = 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate.
s__Fusicatenibacter_saccharivorans	GO:0047475	phenylacetate-CoA ligase activity	151	82	-0.472	-0.06	0.411	0.00118610785717221	Non-HIV-	MF	Catalysis of the reaction: ATP + CoA + phenylacetate = AMP + diphosphate + H(+) + phenylacetyl-CoA.
s__Bacteroides_ovatus	GO:0140673	none	147	75	0.153	0.553	0.4	0.00118697083273034	Pre-HIV+	none	none
