Taxa,species,go,mtb,plasma_mtb
Streptococcus thermophilus,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Alistipes ihumii,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Qingrenia yutianensis,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Parolsenella massiliensis,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Allisonella histaminiformans,Possibly not dysbiotic,Possibly not dysbiotic,Not explained by the number of sexual partners,Possibly not dysbiotic
Dorea sp. NSJ 36,Not explained by the number of sexual partners,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Prevotella sp. P4 67,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Prevotella sp. P5 64,Potentially due to the number of sexual partners,Not explained by the number of sexual partners,Possibly not dysbiotic,Possibly not dysbiotic
Dorea sp. AM13 35,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Schaalia odontolytica,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Terrisporobacter glycolicus,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Not explained by the number of sexual partners
Prevotella sp. P4 51,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Prevotella sp. P5 108,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Bacteriophage sp.,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
Phage FAKO27 000271F,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic,Possibly not dysbiotic
