Taxa	GO	Description	cooccurrence_Non-HIV	cooccurrence_Pre-HIV	cor_Non-HIV	cor_Pre-HIV	diff_cor	p	sign	Ontology	Definition
s__Streptococcus_vestibularis	GO:0008137	NADH dehydrogenase (ubiquinone) activity	142	78	-0.412	0.015	0.426	0.00159024273451291	Non-HIV-	MF	Catalysis of the reaction: NADH + H+ + ubiquinone = NAD+ + ubiquinol.
s__Streptococcus_anginosus	GO:0015661	L-lysine efflux transmembrane transporter activity	119	62	-0.307	0.184	0.491	0.0016274129017666	Non-HIV-	MF	Enables the transfer of L-lysine from the inside of the cell to the outside of the cell across a membrane.
s__Streptococcus_anginosus	GO:1903401	L-lysine transmembrane transport	119	62	-0.307	0.184	0.491	0.00162741290176704	Non-HIV-	BP	The directed movement of L-lysine across a membrane.
s__Prevotella_melaninogenica	GO:0008814	citrate CoA-transferase activity	127	67	0.353	-0.115	0.469	0.00162771247677029	Non-HIV+	MF	Catalysis of the reaction: acetyl-CoA + citrate = acetate + (3S)-citryl-CoA.
s__Haemophilus_parainfluenzae	GO:0016811	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	143	77	-0.502	-0.099	0.403	0.00163606211568657	Non-HIV-	MF	Catalysis of the hydrolysis of any non-peptide carbon-nitrogen bond in a linear amide.
s__Veillonella_nakazawae	GO:0022900	electron transport chain	136	74	0.077	-0.367	0.445	0.00164493713245628	Pre-HIV-	BP	A process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient.
s__Campylobacter_concisus	GO:0006546	glycine catabolic process	120	63	0.315	-0.172	0.487	0.00164556361431023	Non-HIV+	BP	The chemical reactions and pathways resulting in the breakdown of glycine, aminoethanoic acid.
s__Streptococcus_sp._F0442	GO:0019674	NAD metabolic process	140	78	-0.127	0.314	0.44	0.00164843941793524	Pre-HIV+	BP	The chemical reactions and pathways involving nicotinamide adenine dinucleotide (NAD), a coenzyme present in most living cells and derived from the B vitamin nicotinic acid.
s__Actinomyces_oris	GO:1990362	butanol dehydrogenase activity	125	72	-0.141	0.32	0.461	0.00166652660190802	Pre-HIV+	MF	Catalysis of the reaction: butanal + NADH + H+ => n-butanol + NAD+.
s__Haemophilus_parainfluenzae	GO:0003883	CTP synthase activity	143	77	-0.326	0.112	0.438	0.00169667720529998	Non-HIV-	MF	Catalysis of the reaction: ATP + UTP + NH3 = ADP + phosphate + CTP.
s__Candidatus_Nanosynbacter_sp._TM7_075	GO:0006474	N-terminal protein amino acid acetylation	96	50	0.101	-0.431	0.531	0.00169779758312694	Pre-HIV-	BP	The acetylation of the N-terminal amino acid of proteins.
s__Alloprevotella_sp._oral_taxon_473	GO:0003896	DNA primase activity	106	57	0.159	-0.351	0.51	0.0017016049074654	Pre-HIV-	MF	Catalysis of the synthesis of a short RNA primer on a DNA template, providing a free 3'-OH that can be extended by DNA-directed DNA polymerases.
s__Prevotella_sp._oral_taxon_306	GO:0001000	bacterial-type RNA polymerase core enzyme binding	96	56	0.218	-0.307	0.526	0.00171372684133253	Pre-HIV-	MF	Interacting selectively and non-covalently with the bacterial-type RNA polymerase core enzyme, typically consisting of two alpha, one beta, one beta prime, and one omega subunit.
s__Haemophilus_parainfluenzae	GO:0051304	chromosome separation	143	77	-0.549	-0.164	0.384	0.00172663551070729	Non-HIV-	BP	The cell cycle process in which paired chromosomes are detached from each other. Chromosome separation begins with the release of cohesin complexes from chromosomes; in budding yeast, this includes the cleavage of cohesin complexes along the chromosome arms, followed by the separation of the centromeric regions. Chromosome separation also includes formation of chromatid axes mediated by condensins, and ends with the disentangling of inter-sister catenation catalyzed by topoisomerase II (topo II).
s__Granulicatella_adiacens	GO:0004073	aspartate-semialdehyde dehydrogenase activity	141	76	-0.068	0.367	0.435	0.00174391147749775	Pre-HIV+	MF	Catalysis of the reaction: L-aspartate 4-semialdehyde + NADP(+) + phosphate = 4-phospho-L-aspartate + H(+) + NADPH.
s__Haemophilus_parainfluenzae	GO:0009116	nucleoside metabolic process	143	77	-0.511	-0.113	0.397	0.00174687891493153	Non-HIV-	BP	The chemical reactions and pathways involving a nucleoside, a nucleobase linked to either beta-D-ribofuranose (a ribonucleoside) or 2-deoxy-beta-D-ribofuranose, (a deoxyribonucleoside), e.g. adenosine, guanosine, inosine, cytidine, uridine and deoxyadenosine, deoxyguanosine, deoxycytidine and thymidine (= deoxythymidine).
s__Streptococcus_oralis	GO:0008081	phosphoric diester hydrolase activity	145	78	0.34	-0.092	0.432	0.00175791678518888	Non-HIV+	MF	Catalysis of the hydrolysis of a phosphodiester to give a phosphomonoester and a free hydroxyl group.
s__Veillonella_nakazawae	GO:0009372	quorum sensing	138	75	-0.346	0.095	0.441	0.00176033303520917	Non-HIV-	BP	The process in which single-celled organisms monitor their population density by detecting the concentration of small, diffusible signal molecules produced by the cells themselves.
s__Prevotella_melaninogenica	GO:0016114	terpenoid biosynthetic process	139	74	0.371	-0.068	0.439	0.00176639072449047	Non-HIV+	BP	The chemical reactions and pathways resulting in the formation of terpenoids, any member of a class of compounds characterized by an isoprenoid chemical structure.
s__Veillonella_nakazawae	GO:0006555	methionine metabolic process	138	75	-0.119	0.324	0.443	0.00177353237090072	Pre-HIV+	BP	The chemical reactions and pathways involving methionine (2-amino-4-(methylthio)butanoic acid), a sulfur-containing, essential amino acid found in peptide linkage in proteins.
s__Haemophilus_parainfluenzae	GO:0004831	tyrosine-tRNA ligase activity	143	77	-0.485	-0.08	0.405	0.00177536700188097	Non-HIV-	MF	Catalysis of the reaction: L-tyrosine + ATP + tRNA(Tyr) = L-tyrosyl-tRNA(Tyr) + AMP + diphosphate + 2 H(+).
s__Haemophilus_parainfluenzae	GO:0045263	proton-transporting ATP synthase complex, coupling factor F(o)	143	77	-0.388	0.039	0.427	0.00179337731139118	Non-HIV-	CC	All non-F1 subunits of a hydrogen-transporting ATP synthase, including integral and peripheral membrane proteins.
s__Veillonella_dispar	GO:0006528	asparagine metabolic process	142	77	0.053	0.464	0.411	0.00181166223466311	Pre-HIV+	BP	The chemical reactions and pathways involving asparagine, 2-amino-3-carbamoylpropanoic acid.
s__Veillonella_sp._oral_taxon_158	GO:0000049	tRNA binding	141	76	-0.359	0.074	0.433	0.00185713808487731	Non-HIV-	MF	Interacting selectively and non-covalently with transfer RNA.
s__Veillonella_nakazawae	GO:0006528	asparagine metabolic process	137	75	-0.001	0.425	0.425	0.00189355507305899	Pre-HIV+	BP	The chemical reactions and pathways involving asparagine, 2-amino-3-carbamoylpropanoic acid.
s__Streptococcus_sp._F0442	GO:0006468	protein phosphorylation	140	77	-0.041	0.385	0.427	0.00190101111472596	Pre-HIV+	BP	The process of introducing a phosphate group on to a protein.
s__Veillonella_rogosae	GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	139	78	-0.34	0.092	0.431	0.001941078303342	Non-HIV-	MF	Catalysis of the dimethylation two adjacent A residues in the loop closing the 3'-terminal stem of the 18S rRNA, using S-adenosyl-L-methionine as a methyl donor.
s__Veillonella_sp._S13053_19	GO:0006474	N-terminal protein amino acid acetylation	138	75	-0.335	0.104	0.438	0.00194901319839946	Non-HIV-	BP	The acetylation of the N-terminal amino acid of proteins.
s__Alloprevotella_sp._oral_taxon_473	GO:0004471	malate dehydrogenase (decarboxylating) (NAD+) activity	106	56	0.2	-0.31	0.51	0.00195171661627325	Pre-HIV-	MF	Catalysis of the reaction: (S)-malate + NAD+ = pyruvate + CO2 + NADH + H+.
s__Veillonella_nakazawae	GO:0032218	riboflavin transport	138	75	-0.087	0.349	0.436	0.00196630308185441	Pre-HIV+	BP	The directed movement of riboflavin into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Riboflavin (vitamin B2) is a water-soluble B-complex vitamin, converted in the cell to FMN and FAD, cofactors required for the function of flavoproteins.
s__Veillonella_nakazawae	GO:0032217	riboflavin transmembrane transporter activity	138	75	-0.087	0.349	0.436	0.00196630308185708	Pre-HIV+	MF	Enables the transfer of riboflavin from one side of a membrane to the other. Riboflavin (vitamin B2) is a water-soluble B-complex vitamin, converted in the cell to FMN and FAD, cofactors required for the function of flavoproteins.
s__Veillonella_sp._oral_taxon_158	GO:0004342	glucosamine-6-phosphate deaminase activity	141	76	-0.334	0.101	0.434	0.00196784929780214	Non-HIV-	MF	Catalysis of the reaction: D-glucosamine 6-phosphate + H(2)O = beta-D-fructose 6-phosphate + NH(4)(+).
s__Veillonella_sp._CLA_AA_H247	GO:0003697	single-stranded DNA binding	134	73	0.049	0.467	0.418	0.00199090545459946	Pre-HIV+	MF	Interacting selectively and non-covalently with single-stranded DNA.
s__Streptococcus_sp._HMSC061D10	GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity	132	65	-0.051	-0.484	0.433	0.00200610872042017	Pre-HIV-	MF	Catalysis of the reaction: acyl-CoA + 1-acyl-sn-glycerol-3-phosphate = CoA + 1,2-diacyl-sn-glycerol-3-phosphate.
s__Peptostreptococcus_stomatis	GO:0015658	branched-chain amino acid transmembrane transporter activity	100	51	-0.094	0.422	0.517	0.0020087681772083	Pre-HIV+	MF	Enables the transfer of branched-chain amino acids from one side of a membrane to the other. Branched-chain amino acids are amino acids with a branched carbon skeleton without rings.
s__Veillonella_sp._oral_taxon_158	GO:0008649	rRNA methyltransferase activity	141	76	-0.314	0.121	0.435	0.00201936224621813	Non-HIV-	MF	Catalysis of the transfer of a methyl group from S-adenosyl-L-methionine to a nucleoside residue in an rRNA molecule.
s__Haemophilus_parainfluenzae	GO:0004595	pantetheine-phosphate adenylyltransferase activity	143	77	-0.453	-0.045	0.408	0.00203080475818385	Non-HIV-	MF	Catalysis of the reaction: ATP + pantetheine 4'-phosphate = 3'-dephospho-CoA + diphosphate.
s__Veillonella_nakazawae	GO:0050380	undecaprenyl-diphosphatase activity	138	75	-0.115	0.322	0.438	0.00203353188462274	Pre-HIV+	MF	Catalysis of the reaction: all-trans-undecaprenyl diphosphate + H(2)O = all-trans-undecaprenyl phosphate + H(+) + phosphate.
s__Prevotella_melaninogenica	GO:0006108	malate metabolic process	133	68	0.356	-0.095	0.452	0.00204025028070443	Non-HIV+	BP	The chemical reactions and pathways involving malate, the anion of hydroxybutanedioic acid, a chiral hydroxydicarboxylic acid. The (+) enantiomer is an important intermediate in metabolism as a component of both the TCA cycle and the glyoxylate cycle.
s__Veillonella_rogosae	GO:0000154	rRNA modification	139	78	-0.325	0.105	0.431	0.00204987440965887	Non-HIV-	BP	The covalent alteration of one or more nucleotides within an rRNA molecule to produce an rRNA molecule with a sequence that differs from that coded genetically.
s__Haemophilus_parainfluenzae	GO:0008762	UDP-N-acetylmuramate dehydrogenase activity	143	77	-0.452	-0.044	0.408	0.00206076629444429	Non-HIV-	MF	Catalysis of the reaction: UDP-N-acetylmuramate + NADP+ = UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine + NADPH + H+.
s__Haemophilus_parainfluenzae	GO:0003697	single-stranded DNA binding	143	77	-0.453	-0.046	0.407	0.00207808366086115	Non-HIV-	MF	Interacting selectively and non-covalently with single-stranded DNA.
s__Streptococcus_mitis	GO:0006783	heme biosynthetic process	145	78	0.541	0.165	0.376	0.0020788463213921	Non-HIV+	BP	The chemical reactions and pathways resulting in the formation of heme, any compound of iron complexed in a porphyrin (tetrapyrrole) ring, from less complex precursors.
s__Veillonella_rogosae	GO:0004156	dihydropteroate synthase activity	139	78	-0.353	0.073	0.426	0.0020956666516605	Non-HIV-	MF	Catalysis of the reaction: 2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate + 4-aminobenzoate = diphosphate + dihydropteroate.
s__Veillonella_atypica	GO:0001000	bacterial-type RNA polymerase core enzyme binding	129	65	0.324	-0.14	0.464	0.00212406925427833	Non-HIV+	MF	Interacting selectively and non-covalently with the bacterial-type RNA polymerase core enzyme, typically consisting of two alpha, one beta, one beta prime, and one omega subunit.
s__Streptococcus_sp._343_SSPC	GO:0003954	NADH dehydrogenase activity	120	60	-0.153	0.329	0.482	0.00214815097473031	Pre-HIV+	MF	Catalysis of the reaction: NADH + H+ + acceptor = NAD+ + reduced acceptor.
s__Streptococcus_sp._343_SSPC	GO:0006116	NADH oxidation	120	60	-0.153	0.329	0.482	0.00214815097473076	Pre-HIV+	BP	A metabolic process that results in the oxidation of reduced nicotinamide adenine dinucleotide, NADH, to the oxidized form, NAD.
s__Veillonella_nakazawae	GO:0043768	S-ribosylhomocysteine lyase activity	138	75	-0.338	0.096	0.434	0.00215350168600636	Non-HIV-	MF	Catalysis of the reaction: S-(5-deoxy-D-ribos-5-yl)-L-homocysteine = (S)-4,5-dihydroxypentane-2,3-dione + L-homocysteine.
s__Streptococcus_australis	GO:0006824	cobalt ion transport	137	76	0.306	-0.129	0.435	0.00216377408451707	Non-HIV+	BP	The directed movement of cobalt (Co) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.
s__Veillonella_dispar	GO:0008662	1-phosphofructokinase activity	140	76	-0.082	0.347	0.429	0.00219538299129218	Pre-HIV+	MF	Catalysis of the reaction: ATP + D-fructose 1-phosphate = ADP + D-fructose 1,6-bisphosphate.
s__Streptococcus_sp._Marseille_Q3533	GO:0006545	glycine biosynthetic process	142	75	0.084	-0.345	0.429	0.00221824623673617	Pre-HIV-	BP	The chemical reactions and pathways resulting in the formation of glycine, aminoethanoic acid.
s__Neisseria_meningitidis	GO:0008173	RNA methyltransferase activity	135	74	-0.535	-0.146	0.389	0.00222267741011373	Non-HIV-	MF	Catalysis of the transfer of a methyl group from a donor to a nucleoside residue in an RNA molecule.
s__Haemophilus_parainfluenzae	GO:0004844	uracil DNA N-glycosylase activity	143	77	-0.409	0.005	0.414	0.00223317389071509	Non-HIV-	MF	Catalysis of the cleavage of the N-C1' glycosidic bond between the damaged DNA base and the deoxyribose sugar, releasing a free base and leaving an apyrimidinic (AP) site. Enzymes with this activity recognize and remove uracil bases in DNA that result from the deamination of cytosine or the misincorporation of dUTP opposite an adenine.
s__Streptococcus_sanguinis	GO:0030527	structural constituent of chromatin	145	78	-0.342	0.08	0.422	0.00225563433171216	Non-HIV-	MF	The action of a molecule that contributes to the structural integrity of chromatin.
s__Streptococcus_sp._Marseille_Q3533	GO:0004146	dihydrofolate reductase activity	142	75	0.119	-0.313	0.432	0.00226926612271106	Pre-HIV-	MF	Catalysis of the reaction: 5,6,7,8-tetrahydrofolate + NADP+ = 7,8-dihydrofolate + NADPH + H+.
s__Veillonella_sp._CLA_AA_H247	GO:0044038	cell wall macromolecule biosynthetic process	133	73	-0.055	0.378	0.432	0.00228571150698409	Pre-HIV+	BP	The chemical reactions and pathways resulting in the formation of a macromolecule destined to form part of a cell wall.
s__Veillonella_sp._CLA_AA_H247	GO:0016755	transferase activity, transferring amino-acyl groups	133	73	-0.054	0.378	0.432	0.00228777039768402	Pre-HIV+	MF	Catalysis of the transfer of an amino-acyl group from one compound (donor) to another (acceptor).
s__Streptococcus_sanguinis	GO:0006545	glycine biosynthetic process	145	78	-0.125	0.301	0.425	0.00229540882455703	Pre-HIV+	BP	The chemical reactions and pathways resulting in the formation of glycine, aminoethanoic acid.
s__Haemophilus_parainfluenzae	GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	143	77	-0.439	-0.033	0.406	0.00229717654385642	Non-HIV-	MF	Catalysis of the dimethylation two adjacent A residues in the loop closing the 3'-terminal stem of the 18S rRNA, using S-adenosyl-L-methionine as a methyl donor.
s__Haemophilus_parainfluenzae	GO:0008173	RNA methyltransferase activity	143	77	-0.36	0.061	0.421	0.00231627066851714	Non-HIV-	MF	Catalysis of the transfer of a methyl group from a donor to a nucleoside residue in an RNA molecule.
s__Streptococcus_sp._oral_taxon_431	GO:0008667	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity	129	69	-0.081	0.364	0.445	0.00232203034395129	Pre-HIV+	MF	Catalysis of the reaction: (2S,3S)-2,3-dihydroxy-2,3-dihydrobenzoate + NAD(+) = 2,3-dihydroxybenzoate + H(+) + NADH.
s__Veillonella_atypica	GO:0070475	rRNA base methylation	143	77	0.074	-0.348	0.422	0.00233140506839091	Pre-HIV-	BP	The addition of a methyl group to an atom in the nucleoside base portion of a nucleotide residue in an rRNA molecule.
s__Veillonella_sp._CLA_AA_H247	GO:0042597	periplasmic space	134	73	-0.184	-0.562	0.379	0.00234157030323545	Pre-HIV-	CC	The region between the inner (cytoplasmic) and outer membrane (Gram-negative Bacteria) or cytoplasmic membrane and cell wall (Fungi and Gram-positive Bacteria).
s__Candidatus_Nanosynbacter_sp._TM7_057	GO:0016852	sirohydrochlorin cobaltochelatase activity	89	51	0.346	-0.185	0.531	0.00235155858583891	Non-HIV+	MF	Catalysis of the reaction: sirohydrochlorin + Co2+ = cobalt-sirohydrochlorin + 2 H+.
s__Candidatus_Nanosynbacter_sp._TM7_057	GO:0019251	anaerobic cobalamin biosynthetic process	89	51	0.346	-0.185	0.531	0.00235155858583913	Non-HIV+	BP	The chemical reactions and pathways resulting in the formation of cobalamin (vitamin B12) in the absence of oxygen.
s__Streptococcus_vestibularis	GO:0006826	iron ion transport	143	78	-0.323	0.1	0.423	0.00235440830218447	Non-HIV-	BP	The directed movement of iron (Fe) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.
s__Veillonella_sp._CLA_AA_H247	GO:0009306	protein secretion	134	73	0.092	-0.344	0.435	0.00235818402837196	Pre-HIV-	BP	The controlled release of proteins from a cell.
s__Veillonella_dispar	GO:0003941	L-serine ammonia-lyase activity	143	77	-0.007	0.405	0.412	0.00236074882947723	Pre-HIV+	MF	Catalysis of the reaction: L-serine = pyruvate + NH3.
s__Actinomyces_sp._oral_taxon_172	GO:0004129	cytochrome-c oxidase activity	126	66	-0.155	0.305	0.46	0.00236708205481251	Pre-HIV+	MF	Catalysis of the reaction: 4 ferrocytochrome c + O2 + 4 H+ = 4 ferricytochrome c + 2 H2O.
s__Streptococcus_vestibularis	GO:0003879	ATP phosphoribosyltransferase activity	140	74	-0.091	0.339	0.43	0.00236962483631298	Pre-HIV+	MF	Catalysis of the reaction: 1-(5-phospho-D-ribosyl)-ATP + diphosphate = ATP + 5-phospho-alpha-D-ribose 1-diphosphate.
s__Streptococcus_salivarius	GO:0006529	asparagine biosynthetic process	145	78	0.364	-0.052	0.416	0.0023790933218768	Non-HIV+	BP	The chemical reactions and pathways resulting in the formation of asparagine, 2-amino-3-carbamoylpropanoic acid.
s__Streptococcus_rubneri	GO:0046034	ATP metabolic process	141	77	-0.071	0.351	0.422	0.00238075228234691	Pre-HIV+	BP	The chemical reactions and pathways involving ATP, adenosine triphosphate, a universally important coenzyme and enzyme regulator.
s__Veillonella_rogosae	GO:0004127	cytidylate kinase activity	139	78	-0.338	0.085	0.423	0.00239541605517801	Non-HIV-	MF	Catalysis of the reaction: ATP + (d)CMP = ADP + (d)CDP.
s__Neisseria_meningitidis	GO:0019441	tryptophan catabolic process to kynurenine	128	69	-0.495	-0.08	0.415	0.00239751548372302	Non-HIV-	BP	The chemical reactions and pathways resulting in the breakdown of tryptophan into other compounds, including kynurenine.
s__Fusobacterium_nucleatum	GO:0030976	thiamine pyrophosphate binding	134	71	-0.371	0.064	0.435	0.00242407576112624	Non-HIV-	MF	Interacting selectively and non-covalently with thiamine pyrophosphate, the diphosphoric ester of thiamine. Acts as a coenzyme of several (de)carboxylases, transketolases, and alpha-oxoacid dehydrogenases.
s__Neisseria_meningitidis	GO:0004831	tyrosine-tRNA ligase activity	135	74	-0.51	-0.115	0.394	0.00242886171571888	Non-HIV-	MF	Catalysis of the reaction: L-tyrosine + ATP + tRNA(Tyr) = L-tyrosyl-tRNA(Tyr) + AMP + diphosphate + 2 H(+).
s__Granulicatella_adiacens	GO:0090529	cell septum assembly	141	76	-0.083	0.341	0.424	0.00244808607252311	Pre-HIV+	BP	The assembly and arrangement of a cellular component that is composed of peptidoglycan and often chitin in addition to other materials and usually forms perpendicular to the long axis of a cell or hypha. It grows centripetally from the cell wall to the center of the cell and often functions in the compartmentalization of a cell into two daughter cells.
s__Neisseria_mucosa	GO:0016651	oxidoreductase activity, acting on NAD(P)H	133	73	0.581	0.212	0.369	0.00246298724600602	Non-HIV+	MF	Catalysis of an oxidation-reduction (redox) reaction in which NADH or NADPH acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.
s__Veillonella_dispar	GO:0004067	asparaginase activity	142	77	0.07	0.467	0.397	0.00247190873836245	Pre-HIV+	MF	Catalysis of the reaction: L-asparagine + H2O = L-aspartate + NH3.
s__Streptococcus_infantis	GO:0043115	precorrin-2 dehydrogenase activity	134	70	0.003	-0.423	0.426	0.00248380260635028	Pre-HIV-	MF	Catalysis of the reaction: NAD(+) + precorrin-2 = 2 H(+) + NADH + sirohydrochlorin.
s__Haemophilus_parainfluenzae	GO:0009360	DNA polymerase III complex	143	77	-0.375	0.041	0.415	0.00251267581613179	Non-HIV-	CC	The DNA polymerase III holoenzyme is a complex that contains 10 different types of subunits. These subunits are organized into 3 functionally essential sub-assemblies: the pol III core, the beta sliding clamp processivity factor and the clamp-loading complex. The pol III core carries out the polymerase and the 3'-5' exonuclease proofreading activities. The polymerase is tethered to the template via the sliding clamp processivity factor. The clamp-loading complex assembles the beta processivity factor onto the primer template and plays a central role in the organization and communication at the replication fork.
s__Streptococcus_salivarius	GO:0015035	protein disulfide oxidoreductase activity	145	78	0.343	-0.074	0.417	0.00251408171517409	Non-HIV+	MF	Catalysis of the reaction: a protein with reduced sulfide groups = a protein with oxidized disulfide bonds.
s__Streptococcus_oralis	GO:0003333	amino acid transmembrane transport	145	78	0.419	0.015	0.404	0.00253536362318241	Non-HIV+	BP	The process in which an amino acid is transported across a membrane.
s__Neisseria_mucosa	GO:0005198	structural molecule activity	137	72	-0.022	-0.437	0.416	0.002535975547719	Pre-HIV-	MF	The action of a molecule that contributes to the structural integrity of a complex or its assembly within or outside a cell.
s__Veillonella_nakazawae	GO:0000413	protein peptidyl-prolyl isomerization	138	75	-0.058	0.365	0.423	0.00253929032729006	Pre-HIV+	BP	The modification of a protein by cis-trans isomerization of a proline residue.
s__Haemophilus_parainfluenzae	GO:0015078	proton transmembrane transporter activity	143	77	-0.387	0.026	0.413	0.00254518385581437	Non-HIV-	MF	Enables the transfer of a proton from one side of a membrane to the other.
s__Lancefieldella_parvula	GO:0070063	RNA polymerase binding	112	69	-0.029	0.415	0.444	0.00254887169592322	Pre-HIV+	MF	Interacting selectively and non-covalently with an RNA polymerase molecule or complex.
s__Veillonella_sp._oral_taxon_158	GO:0004127	cytidylate kinase activity	141	76	-0.337	0.086	0.423	0.00256021633081982	Non-HIV-	MF	Catalysis of the reaction: ATP + (d)CMP = ADP + (d)CDP.
s__Haemophilus_parainfluenzae	GO:0003723	RNA binding	143	77	-0.501	-0.117	0.384	0.0025869961172158	Non-HIV-	MF	Interacting selectively and non-covalently with an RNA molecule or a portion thereof.
s__Veillonella_sp._S13053_19	GO:0004519	endonuclease activity	138	75	-0.371	0.05	0.421	0.00259153039795379	Non-HIV-	MF	Catalysis of the hydrolysis of ester linkages within nucleic acids by creating internal breaks.
s__Streptococcus_vestibularis	GO:0015159	polysaccharide transmembrane transporter activity	135	69	-0.416	0.012	0.427	0.00259692159161817	Non-HIV-	MF	Enables the transfer of polysaccharides from one side of a membrane to the other. A polysaccharide is a polymer of many (typically more than 10) monosaccharide residues linked glycosidically.
s__Veillonella_nakazawae	GO:0009306	protein secretion	138	75	0.124	-0.305	0.429	0.00259922115868139	Pre-HIV-	BP	The controlled release of proteins from a cell.
s__Haemophilus_parainfluenzae	GO:0009165	nucleotide biosynthetic process	143	77	-0.445	-0.046	0.399	0.00260827186216517	Non-HIV-	BP	The chemical reactions and pathways resulting in the formation of nucleotides, any nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the glycose moiety; may be mono-, di- or triphosphate; this definition includes cyclic-nucleotides (nucleoside cyclic phosphates).
s__Veillonella_sp._CLA_AA_H247	GO:0000413	protein peptidyl-prolyl isomerization	134	73	-0.024	0.398	0.422	0.00262643053762446	Pre-HIV+	BP	The modification of a protein by cis-trans isomerization of a proline residue.
s__Streptococcus_sp._F0442	GO:0004019	adenylosuccinate synthase activity	140	78	-0.038	0.374	0.412	0.00267074393291322	Pre-HIV+	MF	Catalysis of the reaction: L-aspartate + GTP + IMP = N(6)-(1,2-dicarboxyethyl)-AMP + GDP + 3 H(+) + phosphate.
s__Streptococcus_oralis	GO:0050380	undecaprenyl-diphosphatase activity	145	78	0.315	-0.102	0.417	0.00268489269118821	Non-HIV+	MF	Catalysis of the reaction: all-trans-undecaprenyl diphosphate + H(2)O = all-trans-undecaprenyl phosphate + H(+) + phosphate.
s__Candidatus_Nanosynbacter_sp._TM7_075	GO:0006241	CTP biosynthetic process	96	50	0.147	-0.371	0.517	0.00269235703800219	Pre-HIV-	BP	The chemical reactions and pathways resulting in the formation of CTP, cytidine 5'-triphosphate.
s__Streptococcus_oralis	GO:0004325	ferrochelatase activity	145	78	0.305	-0.113	0.418	0.00269648751195173	Non-HIV+	MF	Catalysis of the reaction: protoheme = Fe(2+) + protoporphyrin IX.
s__Streptococcus_sp._Marseille_Q0941	GO:0006824	cobalt ion transport	137	75	0.097	-0.329	0.425	0.00270699853199785	Pre-HIV-	BP	The directed movement of cobalt (Co) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.
s__Streptococcus_sp._XMC	GO:0004565	beta-galactosidase activity	136	73	-0.386	0.036	0.422	0.00270788020752777	Non-HIV-	MF	Catalysis of the hydrolysis of terminal, non-reducing beta-D-galactose residues in beta-D-galactosides.
s__Haemophilus_parainfluenzae	GO:0070395	lipoteichoic acid biosynthetic process	141	73	-0.401	0.014	0.416	0.00273457280989153	Non-HIV-	BP	The chemical reactions and pathways resulting in the formation of lipoteichoic acid, which is a major component of the cell wall of gram-positive bacteria and typically consists of a chain of glycerol-phosphate repeating units linked to a glycolipid anchor.
s__Veillonella_sp._CLA_AA_H247	GO:0031647	regulation of protein stability	130	66	-0.048	0.391	0.439	0.00277038238211014	Pre-HIV+	BP	Any process that affects the structure and integrity of a protein, altering the likelihood of its degradation or aggregation.
s__Streptococcus_sp._oral_taxon_431	GO:0019290	siderophore biosynthetic process	131	69	-0.136	0.306	0.442	0.00279929826692671	Pre-HIV+	BP	The chemical reactions and pathways resulting in the formation of siderophores, low molecular weight Fe(III)-chelating substances made by aerobic or facultatively anaerobic bacteria, especially when growing under iron deficient conditions. The complexes of Fe(3+)-siderophores have very high stability constants and are taken up by specific transport systems by microorganisms; the subsequent release of iron requires enzymatic action.
s__Haemophilus_parainfluenzae	GO:0000154	rRNA modification	143	77	-0.425	-0.024	0.401	0.00281674098776197	Non-HIV-	BP	The covalent alteration of one or more nucleotides within an rRNA molecule to produce an rRNA molecule with a sequence that differs from that coded genetically.
s__Streptococcus_vestibularis	GO:0005576	extracellular region	143	78	0.307	-0.11	0.417	0.00281986229512521	Non-HIV+	CC	The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite.
s__Haemophilus_parainfluenzae	GO:0008887	glycerate kinase activity	143	77	-0.398	0.008	0.406	0.00282098325149605	Non-HIV-	MF	Catalysis of the reaction: D-glycerate + ATP = 3-phospho-D-glycerate + ADP + 2 H(+).
s__Veillonella_sp._S13053_19	GO:0006139	nucleobase-containing compound metabolic process	138	75	-0.331	0.092	0.423	0.0028236389389884	Non-HIV-	BP	Any cellular metabolic process involving nucleobases, nucleosides, nucleotides and nucleic acids.
